id	group	start time	end time	duration	pressed back	attention check	age	gender	movie enthusiast	treatment1	movie order1	movie familiarity1	selection1	diversity1	variety1	similarity1	easiness1	confidence1	amount1	poster clicks1	treatment2	movie order2	movie familiarity2	selection2	diversity2	variety2	similarity2	easiness2	confidence2	amount2	poster clicks2	treatment3	movie order3	movie familiarity3	selection3	diversity3	variety3	similarity3	easiness3	confidence3	amount3	poster clicks3	comparison movie 1	comparison movie 2	comparison diversity	poster clicks comparison	decision time1	decision time2	decision time3	decision time comparison	decision time freetext	decision time ranking	decision time landing page questions	decision time demographics	discovery	interests	distraction	ranking	freetext	feedback
83021	('Group1=', 2, ', Group2=', 3, ', Group3=', 1, 'ComparisonGroup=', 4)	2022-03-31 14:58:57.144365	2022-03-31 15:02:10.624430	193,480065	False	2	26-35	female	2	Mid-ILS	Pulp Fiction, Fight Club, The Shawshank Redemption, The Empire Strikes Back, Star Wars, American Beauty, Requiem for a Dream	['seen', 'seen', 'seen', 'heard', 'heard', 'seen', 'seen']	6	4	4	2	2	5	more	0,0,0,0,0,0,0	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['seen', 'heard', 'seen', 'heard', 'seen', 'seen', 'seen']	6	4	4	2	2	4	more	0,0,0,0,0,0,0	Low-ILS	The Godfather: Part II, The Lord of the Rings: The Fellowship of the Ring, Se7en, Forrest Gump, The Fugitive, The Shining, The Matrix	['seen', 'seen', 'seen', 'heard', 'heard', 'seen', 'seen']	6	5	5	2	2	5	more	0,0,0,0,0,0,0	Se7en	Forrest Gump	2	0	42,122111	27,432021	31,7262	5,445746	46,96821	17,788074	11,610116	10,283251	5	5	1	genre, plot	The genre of the movie like action versus comedy. Also, the story line of the movie and time period like the future or the past.	
90141	('Group1=', 1, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 4)	2022-03-31 15:41:35.825136	2022-03-31 15:44:51.663552	195,838416	False	2	26-35	female	5	Low-ILS	The Godfather: Part II, The Lord of the Rings: The Fellowship of the Ring, Se7en, Forrest Gump, The Fugitive, The Shining, The Matrix	['heard', 'seen', 'seen', 'seen', 'heard', 'seen', 'seen']	3	4	4	3	4	5	more	0,0,0,0,0,0,0	Mid-ILS	Pulp Fiction, Fight Club, The Shawshank Redemption, The Empire Strikes Back, Star Wars, American Beauty, Requiem for a Dream	['seen', 'seen', 'seen', 'seen', 'seen', 'seen', 'heard']	3	4	5	4	4	5	more	0,0,0,0,0,0,0	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['heard', 'seen', 'seen', 'seen', 'heard', 'seen', 'seen']	3	4	4	3	4	4	more	0,0,0,0,0,0,0	Se7en	Forrest Gump	2	0	50,177073	29,758783	24,684532	5,154715	42,616435	26,844485	9,438442	7,065304	4	4	2	plot, actors, genre, image, title, runtime, year	They are diverse if there is a variety of genres and the movies all have something different to offer at the time. 	
61690	('Group1=', 2, ', Group2=', 1, ', Group3=', 3, 'ComparisonGroup=', 4)	2022-03-31 15:22:15.704537	2022-03-31 15:25:35.230543	199,526006	False	2	56-65	male	5	Mid-ILS	Pulp Fiction, Fight Club, The Shawshank Redemption, The Empire Strikes Back, Star Wars, American Beauty, Requiem for a Dream	['heard', 'seen', 'heard', 'heard', 'seen', 'seen', 'heard']	5	5	5	4	4	4	more	1,0,0,0,0,0,0	Low-ILS	The Godfather: Part II, The Lord of the Rings: The Fellowship of the Ring, Se7en, Forrest Gump, The Fugitive, The Shining, The Matrix	['seen', 'heard', 'seen', 'heard', 'heard', 'heard', 'seen']	5	3	4	5	5	4	exactly	0,0,0,0,0,0,0	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['heard', 'seen', 'heard', 'heard', 'seen', 'seen', 'heard']	5	5	4	5	4	5	exactly	0,0,0,0,0,0,0	Se7en	Forrest Gump	5	0	35,065615	20,972389	23,016375	5,97504	44,115633	15,63377	11,997696	42,583524	5	4	4	genre	"In Hollywood, diversity has a slightly different meaning than it might in the ""real world."" Hollywood generally recognizes a film as ""diverse"" when it has at least 30% inclusion of women and/or members of minority populations among the cast and crew."	INTERESTING...
41992	('Group1=', 2, ', Group2=', 1, ', Group3=', 3, 'ComparisonGroup=', 4)	2022-03-31 13:49:43.616202	2022-03-31 13:54:00.296459	256,680257	False	2	36-45	male	4	Mid-ILS	Pulp Fiction, Fight Club, The Shawshank Redemption, The Empire Strikes Back, Star Wars, American Beauty, Requiem for a Dream	['seen', 'seen', 'seen', 'seen', 'seen', 'heard', 'seen']	4	4	4	2	4	4	more	0,0,0,0,0,0,0	Low-ILS	The Godfather: Part II, The Lord of the Rings: The Fellowship of the Ring, Se7en, Forrest Gump, The Fugitive, The Shining, The Matrix	['seen', 'seen', 'seen', 'seen', 'seen', 'seen', 'seen']	4	4	4	2	4	4	more	0,0,0,0,0,0,0	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['seen', 'seen', 'seen', 'seen', 'seen', 'heard', 'seen']	4	4	4	2	4	4	more	0,0,0,0,0,0,0	Se7en	Forrest Gump	2	0	59,72905	30,267381	38,506866	6,203809	42,774797	58,636308	11,109641	9,304628	5	4	2	actors	i wanted to pick the movie have seen and left an effect on me after i watched it	
14132	('Group1=', 2, ', Group2=', 3, ', Group3=', 1, 'ComparisonGroup=', 4)	2022-03-31 14:43:19.924115	2022-03-31 14:47:50.070867	270,146752	False	2	36-45	male	4	Mid-ILS	Pulp Fiction, Fight Club, The Shawshank Redemption, The Empire Strikes Back, Star Wars, American Beauty, Requiem for a Dream	['seen', 'seen', 'seen', 'seen', 'seen', 'heard', 'heard']	1	4	4	2	5	5	more	0,0,0,0,0,0,0	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['seen', 'seen', 'seen', 'seen', 'seen', 'heard', 'heard']	1	4	4	2	5	5	more	0,0,0,0,0,0,0	Low-ILS	The Godfather: Part II, The Lord of the Rings: The Fellowship of the Ring, Se7en, Forrest Gump, The Fugitive, The Shining, The Matrix	['seen', 'seen', 'seen', 'seen', 'seen', 'heard', 'heard']	1	5	5	1	5	5	more	0,0,0,0,0,0,0	Se7en	Forrest Gump	1	0	43,747424	29,659412	42,353724	6,960303	77,262725	39,500427	20,478454	10,039514	2	2	4	genre, plot, year	The genres were all diverse in nature, from drama to sci-fi. Along with various years of film making.	
38328	('Group1=', 1, ', Group2=', 3, ', Group3=', 2, 'ComparisonGroup=', 4)	2022-03-31 13:40:39.703908	2022-03-31 13:45:44.387851	304,683943	False	2	26-35	male	5	Low-ILS	The Godfather: Part II, The Lord of the Rings: The Fellowship of the Ring, Se7en, Forrest Gump, The Fugitive, The Shining, The Matrix	['seen', 'seen', 'seen', 'seen', 'seen', 'seen', 'seen']	4	4	4	2	5	5	more	0,0,0,0,0,0,0	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['seen', 'seen', 'seen', 'seen', 'seen', 'heard', 'seen']	4	4	3	3	4	5	more	0,0,0,0,0,0,0	Mid-ILS	Pulp Fiction, Fight Club, The Shawshank Redemption, The Empire Strikes Back, Star Wars, American Beauty, Requiem for a Dream	['seen', 'seen', 'seen', 'seen', 'seen', 'seen', 'seen']	4	4	5	2	4	5	more	0,0,0,0,0,0,0	Se7en	Forrest Gump	1	0	62,983397	33,506143	31,229957	17,394157	69,51811	54,587751	22,722611	12,607063	4	4	2	plot, genre, actors, year	Theymare diverse if they are from different genres. If they have different plots and different types of characters.	
31734	('Group1=', 2, ', Group2=', 1, ', Group3=', 3, 'ComparisonGroup=', 4)	2022-03-31 13:48:31.890786	2022-03-31 13:53:45.551833	313,661047	False	2	36-45	male	4	Mid-ILS	Pulp Fiction, Fight Club, The Shawshank Redemption, The Empire Strikes Back, Star Wars, American Beauty, Requiem for a Dream	['seen', 'seen', 'seen', 'seen', 'seen', 'seen', 'seen']	6	4	5	2	3	4	more	0,0,0,0,0,0,0	Low-ILS	The Godfather: Part II, The Lord of the Rings: The Fellowship of the Ring, Se7en, Forrest Gump, The Fugitive, The Shining, The Matrix	['heard', 'seen', 'seen', 'seen', 'never', 'seen', 'seen']	6	4	4	2	3	4	more	0,0,0,0,0,0,0	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['seen', 'seen', 'seen', 'seen', 'seen', 'seen', 'seen']	6	4	4	2	3	2	more	0,0,0,0,0,0,0	Se7en	Forrest Gump	2	0	65,666998	32,615573	32,932197	8,314077	84,220985	56,536204	17,654215	15,585517	4	3	2	genre, actors, year	I base how diverse movies are in terms of their genre, acting, and approximate years of release as my criteria.	
47875	('Group1=', 2, ', Group2=', 3, ', Group3=', 1, 'ComparisonGroup=', 4)	2022-03-31 15:02:07.497909	2022-03-31 15:07:51.613523	344,115614	False	2	26-35	female	2	Mid-ILS	Pulp Fiction, Fight Club, The Shawshank Redemption, The Empire Strikes Back, Star Wars, American Beauty, Requiem for a Dream	['heard', 'never', 'never', 'seen', 'seen', 'heard', 'never']	5	4	4	3	4	4	more	0,0,0,0,0,0,0	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['seen', 'never', 'heard', 'heard', 'heard', 'heard', 'seen']	5	4	4	2	2	5	more	0,0,0,0,0,0,0	Low-ILS	The Godfather: Part II, The Lord of the Rings: The Fellowship of the Ring, Se7en, Forrest Gump, The Fugitive, The Shining, The Matrix	['heard', 'never', 'never', 'seen', 'seen', 'heard', 'never']	5	4	4	4	2	4	more	0,0,0,0,0,0,0	Se7en	Forrest Gump	2	0	87,892611	36,367581	93,965501	6,624932	48,310849	44,034081	18,72232	8,053322	4	4	2	genre, plot, title	I determine if films are diverse or not based off of the genre and whether or not they are similar in theme.	
14829	('Group1=', 1, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 4)	2022-03-31 14:27:12.887316	2022-03-31 14:33:22.285731	369,398415	False	2	26-35	male	5	Low-ILS	The Godfather: Part II, The Lord of the Rings: The Fellowship of the Ring, Se7en, Forrest Gump, The Fugitive, The Shining, The Matrix	['seen', 'seen', 'heard', 'seen', 'heard', 'seen', 'seen']	3	4	4	3	4	4	more	0,0,0,0,0,0,0	Mid-ILS	Pulp Fiction, Fight Club, The Shawshank Redemption, The Empire Strikes Back, Star Wars, American Beauty, Requiem for a Dream	['seen', 'seen', 'seen', 'seen', 'seen', 'never', 'never']	3	3	2	2	4	4	more	0,0,0,0,0,0,0	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['seen', 'seen', 'heard', 'seen', 'heard', 'seen', 'seen']	3	2	2	4	4	4	more	0,0,0,0,0,0,0	Se7en	Forrest Gump	2	2,1	56,339451	50,430357	43,016906	18,062919	131,48263	38,467804	19,067144	12,405056	4	4	2	genre	It is usually what genre the movie falls into. Also probably the cast and the overall tone of the movie. What audience is being targeted for this movie? A lot of cult following movies fall into different categories but I would consider them the same type of movie. 	none
85869	('Group1=', 3, ', Group2=', 2, ', Group3=', 1, 'ComparisonGroup=', 4)	2022-03-31 13:52:28.690892	2022-03-31 13:58:50.546767	381,855875	False	2	46-55	male	3	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['heard', 'seen', 'seen', 'seen', 'seen', 'seen', 'heard']	5	3	3	4	4	5	more	0,0,0,0,0,0,0	Mid-ILS	Pulp Fiction, Fight Club, The Shawshank Redemption, The Empire Strikes Back, Star Wars, American Beauty, Requiem for a Dream	['seen', 'seen', 'seen', 'seen', 'seen', 'seen', 'heard']	5	4	4	3	4	5	more	0,0,0,0,0,0,0	Low-ILS	The Godfather: Part II, The Lord of the Rings: The Fellowship of the Ring, Se7en, Forrest Gump, The Fugitive, The Shining, The Matrix	['heard', 'seen', 'seen', 'seen', 'seen', 'seen', 'heard']	5	5	5	1	4	5	more	0,0,0,0,0,0,0	Se7en	Forrest Gump	1	3,2	62,27215	35,766468	32,993439	17,649845	154,420915	49,524484	15,068685	14,124656	4	3	3	genre	In my evaluation movies are diverse mainly accordingly to their genre. So I was presented with thrillers, Sci-Fi, Fantasy, Comedy movies etc. In the first list proposed to me all the titles proposed were more or less thrillers. The next lists were more diverse.	nothing to report.
45868	('Group1=', 1, ', Group2=', 3, ', Group3=', 2, 'ComparisonGroup=', 4)	2022-03-31 13:44:40.634496	2022-03-31 13:51:08.389803	387,755307	False	2	36-45	female	4	Low-ILS	The Godfather: Part II, The Lord of the Rings: The Fellowship of the Ring, Se7en, Forrest Gump, The Fugitive, The Shining, The Matrix	['heard', 'heard', 'seen', 'seen', 'heard', 'seen', 'seen']	3	4	5	1	4	5	more	0,0,0,0,0,0,0	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['seen', 'heard', 'seen', 'heard', 'seen', 'heard', 'seen']	3	5	5	1	2	5	more	0,0,0,0,0,0,0	Mid-ILS	Pulp Fiction, Fight Club, The Shawshank Redemption, The Empire Strikes Back, Star Wars, American Beauty, Requiem for a Dream	['heard', 'heard', 'seen', 'seen', 'heard', 'seen', 'seen']	3	5	4	2	2	5	more	0,0,0,0,0,0,0	Se7en	Forrest Gump	1	0	81,24984	45,843821	36,568144	10,83425	150,094991	40,867502	13,031729	9,121128	5	5	1	genre, plot, year	I determine if movies in a list are diverse if they range in plot lines and subject matter, as well as genre. Being shot in different time periods can also help to diversify them from each other.	
12978	('Group1=', 2, ', Group2=', 1, ', Group3=', 3, 'ComparisonGroup=', 4)	2022-03-31 15:01:23.980078	2022-03-31 15:09:38.354217	494,374139	False	2	56-65	female	5	Mid-ILS	Pulp Fiction, Fight Club, The Shawshank Redemption, The Empire Strikes Back, Star Wars, American Beauty, Requiem for a Dream	['seen', 'seen', 'heard', 'seen', 'seen', 'seen', 'seen']	3	3	3	3	5	4	more	0,0,0,0,0,0,0	Low-ILS	The Godfather: Part II, The Lord of the Rings: The Fellowship of the Ring, Se7en, Forrest Gump, The Fugitive, The Shining, The Matrix	['seen', 'seen', 'heard', 'seen', 'never', 'seen', 'seen']	3	4	4	2	5	4	more	0,0,0,0,0,0,0	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['seen', 'seen', 'heard', 'seen', 'seen', 'seen', 'seen']	3	5	5	1	5	4	more	0,0,0,0,0,0,0	Se7en	Forrest Gump	2	0	164,798354	47,285712	84,294548	11,973555	113,581815	38,802827	16,266934	17,174312	5	4	1	plot, genre, year, image, title, actors, runtime	Different genres of movies and from different times, also the theme division into more realistic ones and more fantasy, first list had too much fantasy, second list had a bias towards fantasy too. 	Thank you!
31963	('Group1=', 3, ', Group2=', 2, ', Group3=', 1, 'ComparisonGroup=', 4)	2022-03-31 13:39:45.570964	2022-03-31 13:48:08.283459	502,712495	False	2	36-45	female	4	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['heard', 'seen', 'never', 'heard', 'never', 'never', 'heard']	2	4	4	3	5	4	more	0,0,0,0,0,0,0	Mid-ILS	Pulp Fiction, Fight Club, The Shawshank Redemption, The Empire Strikes Back, Star Wars, American Beauty, Requiem for a Dream	['never', 'never', 'heard', 'seen', 'seen', 'never', 'heard']	2	4	3	4	5	4	more	0,0,0,0,0,0,0	Low-ILS	The Godfather: Part II, The Lord of the Rings: The Fellowship of the Ring, Se7en, Forrest Gump, The Fugitive, The Shining, The Matrix	['heard', 'seen', 'never', 'heard', 'never', 'never', 'heard']	2	4	3	4	4	5	more	0,0,0,0,0,0,0	Se7en	Forrest Gump	1	0	76,395832	33,370242	190,463111	9,899492	128,336218	30,300087	14,345065	19,491745	4	3	3	title, actors, image, year, genre, runtime, plot	I used to determined the movies are similar or diverse based on the title of the movie also the artists appearance in the movie poster.	none
29088	('Group1=', 3, ', Group2=', 2, ', Group3=', 1, 'ComparisonGroup=', 4)	2022-03-31 13:39:18.127155	2022-03-31 13:52:27.611143	789,483988	False	2	26-35	female	5	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['seen', 'seen', 'seen', 'seen', 'seen', 'seen', 'seen']	7	4	4	2	5	5	more	0,0,0,0,0,0,0	Mid-ILS	Pulp Fiction, Fight Club, The Shawshank Redemption, The Empire Strikes Back, Star Wars, American Beauty, Requiem for a Dream	['seen', 'seen', 'seen', 'seen', 'seen', 'seen', 'seen']	7	4	4	2	5	5	more	0,0,0,0,0,0,0	Low-ILS	The Godfather: Part II, The Lord of the Rings: The Fellowship of the Ring, Se7en, Forrest Gump, The Fugitive, The Shining, The Matrix	['seen', 'seen', 'seen', 'seen', 'seen', 'seen', 'seen']	7	4	4	2	5	5	more	0,0,0,0,0,0,0	Se7en	Forrest Gump	2	0	69,111612	72,626152	105,334479	4,743932	49,770701	264,205466	10,810611	212,703448	5	4	2	plot, actors, genre, image, title, runtime, year	I matched what was different by the type of movie like horror, action, and they also which movies were critically acclaimed.	fun! tysm
79277	('Group1=', 1, ', Group2=', 3, ', Group3=', 2, 'ComparisonGroup=', 2)	2022-03-31 13:46:25.083334	2022-03-31 13:49:51.819022	206,735688	False	2	26-35	male	3	Low-ILS	The Godfather: Part II, The Lord of the Rings: The Fellowship of the Ring, Se7en, Forrest Gump, The Fugitive, The Shining, The Matrix	['heard', 'seen', 'seen', 'seen', 'heard', 'seen', 'seen']	2	4	4	3	5	4	more	0,0,0,0,0,0,0	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['seen', 'seen', 'seen', 'heard', 'seen', 'seen', 'seen']	2	4	4	3	5	5	more	0,0,0,0,0,0,0	Mid-ILS	Pulp Fiction, Fight Club, The Shawshank Redemption, The Empire Strikes Back, Star Wars, American Beauty, Requiem for a Dream	['heard', 'seen', 'seen', 'seen', 'heard', 'seen', 'seen']	2	4	4	2	5	5	more	0,0,0,0,0,0,0	The Fugitive	Forrest Gump	1	0	54,508162	39,899933	22,488329	5,597903	29,732716	31,855169	12,638709	9,900804	4	4	2	genre, plot, actors, title, image, year, runtime	Basically what the movie was all about and the main theme of the movie is what I used to determine how diverse it was.	
96766	('Group1=', 2, ', Group2=', 3, ', Group3=', 1, 'ComparisonGroup=', 2)	2022-03-31 14:42:59.805118	2022-03-31 14:47:30.469306	270,664188	False	2	26-35	female	4	Mid-ILS	Pulp Fiction, Fight Club, The Shawshank Redemption, The Empire Strikes Back, Star Wars, American Beauty, Requiem for a Dream	['seen', 'seen', 'heard', 'never', 'seen', 'seen', 'seen']	6	4	3	3	4	5	more	0,0,0,0,0,0,0	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['seen', 'heard', 'seen', 'heard', 'seen', 'seen', 'heard']	6	2	2	4	4	5	more	0,0,0,0,0,0,0	Low-ILS	The Godfather: Part II, The Lord of the Rings: The Fellowship of the Ring, Se7en, Forrest Gump, The Fugitive, The Shining, The Matrix	['seen', 'seen', 'heard', 'never', 'seen', 'seen', 'seen']	6	4	4	2	5	5	more	0,0,0,0,0,0,0	The Fugitive	Forrest Gump	1	0	90,509601	39,241658	28,779131	6,10391	39,483458	31,724609	20,691108	14,018128	5	4	3	genre	If they are in the same category such as rom-com, comedy, action, thriller, horror, etc. If they are in different categories then it is a diverse list of movies.	
57814	('Group1=', 2, ', Group2=', 1, ', Group3=', 3, 'ComparisonGroup=', 2)	2022-03-31 14:40:49.202421	2022-03-31 14:45:45.530988	296,328567	False	2	36-45	male	4	Mid-ILS	Pulp Fiction, Fight Club, The Shawshank Redemption, The Empire Strikes Back, Star Wars, American Beauty, Requiem for a Dream	['seen', 'seen', 'seen', 'seen', 'seen', 'seen', 'never']	2	5	5	2	5	5	more	0,0,0,0,0,0,0	Low-ILS	The Godfather: Part II, The Lord of the Rings: The Fellowship of the Ring, Se7en, Forrest Gump, The Fugitive, The Shining, The Matrix	['seen', 'seen', 'seen', 'seen', 'seen', 'seen', 'seen']	2	5	5	1	5	5	more	0,0,0,0,0,0,0	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['seen', 'seen', 'seen', 'seen', 'seen', 'seen', 'never']	2	5	5	1	5	5	more	0,0,0,0,0,0,0	The Fugitive	Forrest Gump	1	0	66,813062	38,648923	30,815155	13,402285	81,419919	39,422536	15,772804	9,929744	5	5	1	genre, plot, actors, image, title, runtime, year	When i think of a movie being diverse, I think of the genre of the movie such as Action or Horror. I think the main difference in a movie is the genre, as a Horror movie cannot be considered similar to a Action movie in anyway. 	
3321	('Group1=', 2, ', Group2=', 3, ', Group3=', 1, 'ComparisonGroup=', 2)	2022-03-31 13:46:27.211654	2022-03-31 13:52:22.556178	355,344524	False	2	46-55	male	5	Mid-ILS	Pulp Fiction, Fight Club, The Shawshank Redemption, The Empire Strikes Back, Star Wars, American Beauty, Requiem for a Dream	['seen', 'seen', 'heard', 'seen', 'seen', 'seen', 'heard']	2	4	4	2	4	5	more	0,0,0,0,0,0,0	High-ILS	The Sixth Sense, Schindler’s List, The Silence of the Lambs, The Godfather, Fight Club, Fargo, The Green Mile	['seen', 'seen', 'seen', 'seen', 'seen', 'seen', 'heard']	2	3	3	4	4	5	more	0,0,0,0,0,0,0	Low-ILS	The Godfather: Part II, The Lord of the Rings: The Fellowship of the Ring, Se7en, Forrest Gump, The Fugitive, The Shining, The Matrix	['seen', 'seen', 'heard', 'seen', 'seen', 'seen', 'heard']	2	4	4	3	4	5	more	0,0,0,0,0,0,0	The Fugitive	Forrest Gump	2	0	83,606038	57,689636	57,167711	10,478693	90,855999	31,935695	12,992906	10,389781	4	5	2	genre	 A list is diverse if it contains movies from more than one genre (preferably several).  For example: action, horror, comedy, drama.	
