id	group	start time	end time	duration	pressed back	attention check	age	gender	cooking enthusiast	restrictions	treatment1	order	familiarity	selection	diversity	variety	similarity	easiness	confidence	amount	poster clicks	decision time	logtime	Sum (div+var+sim)	inversed similarity	ILS
4072	('Group1=', 3, ', Group2=', 2, ', Group3=', 1, 'ComparisonGroup=', 1)	2022-03-30 14:26:52.371148	2022-03-30 14:29:33.711893	161,340745	False	2	26-35	female	4--5	vegan	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['similar', 'similar', 'similar', 'similar', 'similar', 'prepared', 'similar']	6	3	4	3	4	4	exactly	0,0,0,0,0,0,0	27,507416	1,439449795	10	3	0.34
6704	('Group1=', 3, ', Group2=', 1, ', Group3=', 2, 'ComparisonGroup=', 4)	2022-03-30 13:44:09.859215	2022-03-30 13:47:23.810125	193,95091	False	2	26-35	female	4--5	vegetarian	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['similar', 'similar', 'similar', 'similar', 'similar', 'similar', 'never']	5	4	3	4	4	4	exactly	0,0,0,0,0,0,0	33,465132	1,524592542	9	2	0.34
72143	('Group1=', 2, ', Group2=', 3, ', Group3=', 1, 'ComparisonGroup=', 1)	2022-03-30 13:52:31.194086	2022-03-30 13:55:47.032085	195,837999	False	2	36-45	female	4--5	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'never', 'prepared', 'prepared', 'prepared', 'prepared', 'prepared']	5	5	3	3	4	4	more	0,0,0,0,0,0,0	28,950351	1,461653834	11	3	0.34
77986	('Group1=', 1, ', Group2=', 3, ', Group3=', 2, 'ComparisonGroup=', 4)	2022-03-30 14:30:46.059844	2022-03-30 14:34:29.611473	223,551629	False	2	46-55	female	4--5	vegan	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['prepared', 'similar', 'prepared', 'never', 'similar', 'similar', 'similar']	5	3	4	4	5	4	exactly	0,0,0,0,0,0,0	31,183093	1,49391919	9	2	0.34
95535	('Group1=', 1, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 2)	2022-03-30 14:44:22.425153	2022-03-30 14:48:18.574581	236,149428	False	2	26-35	female	>5	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['similar', 'prepared', 'prepared', 'similar', 'similar', 'similar', 'similar']	4	4	4	4	4	4	more	0,0,0,0,0,0,0	42,805674	1,63150134	10	2	0.34
95535	('Group1=', 1, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 2)	2022-03-30 14:44:22.425153	2022-03-30 14:48:21.311586	238,886433	False	2	26-35	female	>5	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['similar', 'prepared', 'prepared', 'similar', 'similar', 'similar', 'similar']	4	4	4	4	4	4	more	0,0,0,0,0,0,0	42,805674	1,63150134	10	2	0.34
91566	('Group1=', 2, ', Group2=', 1, ', Group3=', 3, 'ComparisonGroup=', 1)	2022-03-30 15:06:27.661979	2022-03-30 15:10:33.869392	246,207413	False	2	46-55	female	1	religious	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['prepared', 'never', 'never', 'never', 'never', 'never', 'never']	1	4	4	4	4	4	exactly	0,0,0,0,0,0,0	25,215593	1,401669186	10	2	0.34
87957	('Group1=', 1, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 2)	2022-03-30 14:34:11.881604	2022-03-30 14:38:36.698377	264,816773	False	2	36-45	male	>5	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'similar', 'similar', 'similar', 'similar', 'similar', 'similar']	4	4	4	3	4	4	more	0,0,0,0,0,0,0	59,954618	1,77782264	11	3	0.34
71447	('Group1=', 3, ', Group2=', 1, ', Group3=', 2, 'ComparisonGroup=', 3)	2022-03-30 13:54:06.245071	2022-03-30 13:58:45.456024	279,210953	False	2	36-45	female	2--3	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'similar', 'similar', 'prepared', 'prepared', 'similar', 'similar']	5	4	3	4	5	4	more	0,0,0,0,0,0,0	37,340964	1,572185526	9	2	0.34
3254	('Group1=', 1, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 3)	2022-03-30 14:14:36.695070	2022-03-30 14:19:16.230039	279,534969	False	2	26-35	female	4--5	vegetarian	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'similar', 'similar', 'similar', 'prepared', 'similar', 'never']	4	4	5	5	5	4	more	0,0,0,0,0,0,0	26,482718	1,422962556	10	1	0.34
40578	('Group1=', 3, ', Group2=', 2, ', Group3=', 1, 'ComparisonGroup=', 3)	2022-03-30 13:35:23.612869	2022-03-30 13:40:06.388584	282,775715	False	2	46-55	male	4--5	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'never', 'similar', 'never', 'similar', 'similar', 'never']	3	4	4	4	4	4	more	0,0,0,0,0,0,0	40,529397	1,607770142	10	2	0.34
25861	('Group1=', 3, ', Group2=', 2, ', Group3=', 1, 'ComparisonGroup=', 4)	2022-03-30 13:27:07.961750	2022-03-30 13:32:12.788574	304,826824	False	2	26-35	male	2--3	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'never', 'similar', 'similar', 'similar', 'similar', 'never']	4	2	2	5	4	4	more	0,0,0,0,0,0,0	30,473562	1,483923221	5	1	0.34
80649	('Group1=', 3, ', Group2=', 1, ', Group3=', 2, 'ComparisonGroup=', 4)	2022-03-30 14:41:50.149278	2022-03-30 14:47:08.852870	318,703592	False	2	26-35	male	2--3	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'never', 'prepared', 'prepared', 'similar', 'prepared', 'similar']	7	2	2	4	2	4	more	0,0,0,0,0,0,0	38,520932	1,585696786	6	2	0.34
51446	('Group1=', 1, ', Group2=', 3, ', Group3=', 2, 'ComparisonGroup=', 1)	2022-03-30 13:23:33.028834	2022-03-30 13:29:06.204397	333,175563	False	2	36-45	male	2--3	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'prepared', 'prepared', 'prepared', 'similar', 'prepared', 'similar']	4	1	2	4	4	5	more	0,0,0,0,0,0,0	79,294186	1,899241345	5	2	0.34
68034	('Group1=', 1, ', Group2=', 3, ', Group3=', 2, 'ComparisonGroup=', 4)	2022-03-30 15:29:30.498587	2022-03-30 15:35:07.605422	337,106835	False	2	26-35	female	2--3	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'similar', 'prepared', 'prepared', 'similar', 'prepared', 'similar']	1	2	2	4	2	5	more	1,1,0,0,0,0,0	92,422035	1,965775527	6	2	0.34
2820	('Group1=', 3, ', Group2=', 2, ', Group3=', 1, 'ComparisonGroup=', 3)	2022-03-30 14:55:17.753252	2022-03-30 15:00:58.485323	340,732071	False	2	26-35	male	2--3	vegetarian	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['similar', 'prepared', 'similar', 'never', 'prepared', 'prepared', 'never']	6	3	4	5	5	4	exactly	0,0,0,0,0,0,0	27,624678	1,441297224	8	1	0.34
71302	('Group1=', 1, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 2)	2022-03-30 14:02:44.581144	2022-03-30 14:08:29.240799	344,659655	False	2	26-35	male	4--5	vegetarian	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'never', 'prepared', 'prepared', 'never', 'similar', 'similar']	4	4	4	2	3	4	more	0,0,0,0,0,0,0	64,412251	1,808968477	12	4	0.34
60844	('Group1=', 3, ', Group2=', 2, ', Group3=', 1, 'ComparisonGroup=', 2)	2022-03-30 15:09:59.668033	2022-03-30 15:15:49.311220	349,643187	False	2	36-45	female	2--3	vegetarian	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'prepared', 'never', 'prepared', 'similar', 'never', 'similar']	2	5	3	4	4	5	more	0,0,0,0,0,0,0	22,049207	1,343392975	10	2	0.34
97818	('Group1=', 3, ', Group2=', 2, ', Group3=', 1, 'ComparisonGroup=', 3)	2022-03-30 13:46:13.965696	2022-03-30 13:52:05.779521	351,813825	False	2	36-45	male	>5	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['similar', 'prepared', 'prepared', 'prepared', 'similar', 'prepared', 'similar']	2	3	2	2	4	4	more	0,0,0,0,0,0,0	66,442671	1,822447083	9	4	0.34
26118	('Group1=', 1, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 4)	2022-03-30 13:32:10.429654	2022-03-30 13:38:10.305157	359,875503	False	2	46-55	male	4--5	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['similar', 'never', 'prepared', 'prepared', 'similar', 'prepared', 'prepared']	4	2	2	4	4	4	more	0,0,0,0,0,0,0	84,037615	1,924473719	6	2	0.34
70891	('Group1=', 3, ', Group2=', 1, ', Group3=', 2, 'ComparisonGroup=', 1)	2022-03-30 14:30:43.783389	2022-03-30 14:37:23.791912	400,008523	False	2	36-45	male	4--5	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['similar', 'never', 'prepared', 'similar', 'never', 'similar', 'similar']	3	4	3	3	4	4	more	0,0,0,0,0,0,0	54,464957	1,736117165	10	3	0.34
70152	('Group1=', 3, ', Group2=', 2, ', Group3=', 1, 'ComparisonGroup=', 1)	2022-03-30 15:33:32.054306	2022-03-30 15:40:24.712941	412,658635	False	2	36-45	male	1	gluten	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['similar', 'similar', 'never', 'similar', 'prepared', 'never', 'never']	5	4	4	4	4	4	exactly	0,0,0,0,0,0,0	25,251885	1,402293803	10	2	0.34
19981	('Group1=', 1, ', Group2=', 3, ', Group3=', 2, 'ComparisonGroup=', 3)	2022-03-30 13:42:00.138284	2022-03-30 13:49:18.785581	438,647297	False	2	56-65	female	4--5	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'similar', 'prepared', 'similar', 'never', 'similar', 'never']	7	2	2	4	5	5	more	0,0,0,0,0,0,2	142,333261	2,1533064	6	2	0.34
90159	('Group1=', 1, ', Group2=', 3, ', Group3=', 2, 'ComparisonGroup=', 3)	2022-03-30 13:23:45.252538	2022-03-30 13:31:24.407242	459,154704	False	2	46-55	male	4--5	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'never', 'prepared', 'never', 'never', 'similar', 'never']	7	2	2	4	4	4	more	0,0,0,0,0,0,0	109,950356	2,04119664	6	2	0.34
30979	('Group1=', 1, ', Group2=', 3, ', Group3=', 2, 'ComparisonGroup=', 1)	2022-03-30 15:00:53.499025	2022-03-30 15:08:59.974355	486,47533	False	2	19-25	male	>5	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'never', 'similar', 'never', 'never', 'similar', 'never']	5	2	2	4	4	4	more	0,0,0,0,0,0,0	76,434612	1,883290065	6	2	0.34
38523	('Group1=', 2, ', Group2=', 3, ', Group3=', 1, 'ComparisonGroup=', 1)	2022-03-30 13:58:00.190251	2022-03-30 14:06:48.005013	527,814762	False	2	46-55	male	2--3	lactose	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['similar', 'never', 'similar', 'never', 'similar', 'similar', 'similar']	3	4	4	5	5	5	exactly	0,0,0,0,0,0,0	34,81228	1,541732468	9	1	0.34
87777	('Group1=', 1, ', Group2=', 3, ', Group3=', 2, 'ComparisonGroup=', 3)	2022-03-30 14:59:44.182440	2022-03-30 15:08:56.257593	552,075153	False	2	26-35	male	4--5	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'similar', 'prepared', 'similar', 'prepared', 'prepared', 'similar']	3	4	4	3	4	4	more	0,0,0,0,0,0,0	102,648204	2,011351355	11	3	0.34
94382	('Group1=', 2, ', Group2=', 3, ', Group3=', 1, 'ComparisonGroup=', 1)	2022-03-30 13:39:25.780854	2022-03-30 13:48:49.385197	563,604343	False	2	26-35	female	4--5	vegetarian	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'never', 'similar', 'never', 'never', 'never', 'never']	6	3	3	4	3	4	more	0,0,0,0,0,0,0	60,52678	1,78194757	8	2	0.34
69180	('Group1=', 3, ', Group2=', 1, ', Group3=', 2, 'ComparisonGroup=', 4)	2022-03-30 15:11:12.099294	2022-03-30 15:21:04.220682	592,121388	False	2	26-35	male	4--5	gluten	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'never', 'never', 'similar', 'similar', 'similar', 'never']	4	4	4	4	4	4	exactly	0,0,0,0,0,0,0	30,613022	1,485906204	10	2	0.34
64388	('Group1=', 1, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 4)	2022-03-30 13:23:54.880974	2022-03-30 13:34:13.059234	618,17826	False	2	36-45	female	>5	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'never', 'similar', 'similar', 'prepared', 'prepared', 'never']	6	4	5	3	4	4	more	0,0,0,0,0,0,0	143,788496	2,157724141	12	3	0.34
86952	('Group1=', 1, ', Group2=', 3, ', Group3=', 2, 'ComparisonGroup=', 1)	2022-03-30 13:23:01.391910	2022-03-30 13:33:22.719151	621,327241	False	2	36-45	female	>5	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'never', 'similar', 'similar', 'never', 'similar', 'never']	5	2	2	4	2	5	more	0,0,0,0,0,0,0	452,9561	2,656056113	6	2	0.34
85274	('Group1=', 1, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 2)	2022-03-30 13:29:32.761263	2022-03-30 13:40:51.684200	678,922937	False	2	36-45	male	4--5	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'similar', 'prepared', 'prepared', 'similar', 'similar', 'prepared']	5	3	4	3	3	4	more	0,0,0,0,0,0,0	87,374737	1,941385882	10	3	0.34
87500	('Group1=', 1, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 4)	2022-03-30 13:29:22.539464	2022-03-30 13:41:57.962664	755,4232	False	2	36-45	male	>5	none	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'never', 'prepared', 'prepared', 'never', 'similar', 'never']	4	2	4	4	3	3	more	0,0,0,0,0,0,0	167,767307	2,224707333	8	2	0.34
69664	('Group1=', 1, ', Group2=', 2, ', Group3=', 3, 'ComparisonGroup=', 4)	2022-03-30 13:37:21.226591	2022-03-30 13:51:10.574473	829,347882	False	2	56-65	female	4--5	vegetarian	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['never', 'never', 'prepared', 'similar', 'never', 'similar', 'similar']	3	4	4	5	4	3	exactly	0,0,0,0,0,0,0	311,078697	2,492870271	9	1	0.34
25078	('Group1=', 3, ', Group2=', 2, ', Group3=', 1, 'ComparisonGroup=', 3)	2022-03-30 14:23:59.455873	2022-03-30 14:37:57.223718	837,767845	False	2	26-35	male	2--3	vegetarian	High-ILS	[[[[[[['', 'Donut Muffins'], 'Brown Sugar Smokies'], 'Good Old Fashioned Pancakes'], 'Best Big, Fat, Chewy Chocolate Chip Cookie'], 'Peanut Butter Cup Cookies'], 'Best Chocolate Chip Cookies'], 'Banana Crumb Muffins']	['similar', 'never', 'never', 'prepared', 'prepared', 'similar', 'prepared']	7	5	4	5	4	3	more	0,0,0,0,0,0,0	42,220684	1,625525265	10	1	0.34
